,Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market Size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales,Total_expenses,Type
0,303,51,-35,2012-10-01,503,71,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-5,122,Colorado,30,60,30,90,76,Decaf
1,970,52,-24,2012-10-01,405,71,Major Market,Central,17,Leaves,Herbal Tea,Mint,26,123,Colorado,30,60,50,90,45,Decaf
2,409,43,-22,2012-10-02,419,64,Major Market,South,13,Leaves,Herbal Tea,Lemon,28,107,Texas,30,60,50,90,36,Decaf
3,850,38,-15,2012-10-03,871,56,Major Market,East,10,Leaves,Tea,Darjeeling,35,94,Florida,40,60,50,100,21,Regular
4,562,72,6,2012-10-04,650,110,Major Market,West,23,Leaves,Tea,Green Tea,56,182,California,20,60,50,80,54,Regular
5,712,0,-29,2012-10-05,430,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,60,60,60,12,Decaf
6,860,47,-29,2012-10-06,375,64,Small Market,East,15,Beans,Espresso,Decaf Espresso,21,111,Connecticut,30,60,50,90,43,Decaf
7,918,27,-39,2012-10-07,859,39,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,21,66,Oklahoma,30,60,60,90,18,Decaf
8,775,31,-43,2012-10-08,1000,37,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,7,68,Nevada,30,60,50,90,30,Decaf
9,435,40,-23,2012-10-09,881,59,Small Market,West,11,Beans,Espresso,Decaf Espresso,37,99,Utah,20,60,60,80,22,Decaf
10,603,49,-27,2012-10-10,310,71,Small Market,East,15,Beans,Coffee,Amaretto,33,120,New Hampshire,30,60,60,90,38,Regular
11,603,45,-26,2012-10-11,447,69,Small Market,East,14,Beans,Coffee,Colombian,24,114,New Hampshire,30,60,50,90,45,Regular
12,603,45,-37,2012-10-12,320,64,Small Market,East,41,Beans,Espresso,Caffe Mocha,-7,109,New Hampshire,30,60,30,90,71,Regular
13,318,60,-9,2012-10-13,-762,84,Small Market,South,54,Beans,Espresso,Caffe Latte,1,144,Louisiana,30,60,10,90,83,Regular
14,775,34,-32,2012-10-14,240,43,Small Market,West,12,Beans,Coffee,Colombian,-2,77,Nevada,40,60,30,100,45,Regular
15,503,54,-28,2012-10-15,404,66,Small Market,West,20,Beans,Espresso,Caffe Latte,12,120,Oregon,40,60,40,100,54,Regular
16,573,45,-36,2012-10-16,320,64,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-6,109,Missouri,20,60,30,80,70,Decaf
17,262,48,-15,2012-10-17,851,70,Small Market,Central,13,Leaves,Herbal Tea,Lemon,45,118,Wisconsin,30,60,60,90,25,Decaf
18,801,49,-27,2012-10-18,310,71,Small Market,West,15,Leaves,Herbal Tea,Chamomile,33,120,Utah,30,60,60,90,38,Decaf
19,425,48,-13,2012-10-19,829,71,Small Market,West,13,Leaves,Herbal Tea,Lemon,47,119,Washington,30,60,60,90,24,Decaf
20,860,40,-14,2012-10-20,881,59,Small Market,East,11,Leaves,Tea,Darjeeling,36,99,Connecticut,40,60,50,100,23,Regular
21,971,82,14,2012-10-21,788,123,Small Market,West,27,Leaves,Tea,Earl Grey,64,205,Oregon,30,60,50,90,59,Regular
22,971,91,26,2012-10-22,656,127,Small Market,West,28,Leaves,Tea,Green Tea,76,218,Oregon,40,60,50,100,51,Regular
23,915,40,-14,2012-10-23,536,52,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,26,92,Texas,40,60,40,100,26,Decaf
24,210,50,8,2012-10-24,589,73,Major Market,South,14,Beans,Espresso,Decaf Espresso,48,123,Texas,30,60,40,90,25,Decaf
25,970,40,-13,2012-10-25,536,52,Major Market,Central,13,Beans,Coffee,Colombian,27,92,Colorado,30,60,40,90,25,Regular
26,774,52,-8,2012-10-26,554,68,Major Market,East,47,Beans,Espresso,Caffe Mocha,-8,120,Massachusetts,50,60,0,110,76,Regular
27,954,75,14,2012-10-27,1063,89,Major Market,East,23,Leaves,Herbal Tea,Mint,44,164,Florida,50,60,30,110,45,Decaf
28,936,46,1,2012-10-28,424,68,Major Market,South,14,Leaves,Herbal Tea,Lemon,31,114,Texas,40,60,30,100,37,Decaf
29,719,55,-5,2012-10-29,410,69,Major Market,Central,20,Leaves,Tea,Darjeeling,15,124,Colorado,40,60,20,100,54,Regular
30,847,50,8,2012-10-30,589,73,Major Market,Central,14,Leaves,Tea,Darjeeling,48,123,Illinois,40,60,40,100,25,Regular
31,719,57,-1,2012-10-31,1042,68,Major Market,Central,17,Leaves,Tea,Earl Grey,29,125,Colorado,40,60,30,100,39,Regular
32,339,36,-9,2012-11-01,862,52,Major Market,East,10,Leaves,Tea,Darjeeling,31,88,Massachusetts,30,60,40,90,21,Regular
33,314,33,-23,2012-11-02,836,48,Small Market,Central,9,Beans,Espresso,Decaf Espresso,27,81,Missouri,40,60,50,100,21,Decaf
34,504,31,-22,2012-11-03,856,47,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,28,78,Louisiana,30,60,50,90,19,Decaf
35,580,36,-10,2012-11-04,862,52,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,30,88,Oklahoma,40,60,40,100,22,Decaf
36,225,49,4,2012-11-05,454,71,Small Market,South,15,Beans,Espresso,Decaf Espresso,34,120,Louisiana,30,60,30,90,37,Decaf
37,262,54,-6,2012-11-06,391,67,Small Market,Central,20,Beans,Coffee,Amaretto,14,121,Wisconsin,50,60,20,110,53,Regular
38,603,46,-10,2012-11-07,316,67,Small Market,East,14,Beans,Coffee,Amaretto,30,113,New Hampshire,40,60,40,100,37,Regular
39,603,43,-10,2012-11-08,452,66,Small Market,East,14,Beans,Coffee,Colombian,20,109,New Hampshire,30,60,30,90,46,Regular
40,603,44,-18,2012-11-09,325,62,Small Market,East,40,Beans,Espresso,Caffe Mocha,-8,106,New Hampshire,40,60,10,100,70,Regular
41,225,53,19,2012-11-10,321,88,Small Market,South,16,Beans,Espresso,Caffe Mocha,49,141,Louisiana,40,60,30,100,39,Regular
42,425,54,-7,2012-11-11,391,67,Small Market,West,20,Beans,Espresso,Caffe Mocha,13,121,Washington,50,60,20,110,54,Regular
43,918,54,-7,2012-11-12,391,67,Small Market,South,20,Leaves,Herbal Tea,Chamomile,13,121,Oklahoma,50,60,20,110,54,Decaf
44,801,46,0,2012-11-13,316,67,Small Market,West,14,Leaves,Herbal Tea,Chamomile,30,113,Utah,40,60,30,100,37,Decaf
45,435,43,-10,2012-11-14,452,66,Small Market,West,14,Leaves,Herbal Tea,Lemon,20,109,Utah,40,60,30,100,46,Decaf
46,509,47,4,2012-11-15,834,68,Small Market,West,13,Leaves,Herbal Tea,Lemon,44,115,Washington,40,60,40,100,24,Decaf
47,203,36,-7,2012-11-16,809,54,Small Market,East,10,Leaves,Tea,Green Tea,33,90,Connecticut,30,60,40,90,21,Regular
48,206,61,1,2012-11-17,613,86,Small Market,West,55,Leaves,Tea,Green Tea,1,147,Washington,40,60,0,100,85,Regular
49,682,43,-10,2012-11-18,531,56,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,30,99,Texas,50,60,40,110,26,Decaf
50,214,54,12,2012-11-19,601,79,Major Market,South,15,Beans,Espresso,Decaf Espresso,52,133,Texas,40,60,40,100,27,Decaf
51,970,47,-6,2012-11-20,521,65,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-6,112,Colorado,40,60,0,100,71,Decaf
52,303,54,-1,2012-11-21,424,73,Major Market,Central,17,Leaves,Herbal Tea,Mint,29,127,Colorado,50,60,30,110,44,Decaf
53,954,65,3,2012-11-22,403,80,Major Market,East,24,Leaves,Herbal Tea,Lemon,23,145,Florida,40,60,20,100,57,Decaf
54,561,80,20,2012-11-23,1079,96,Major Market,East,24,Leaves,Herbal Tea,Mint,50,176,Florida,60,60,30,120,46,Decaf
55,469,54,-2,2012-11-24,424,73,Major Market,South,17,Leaves,Herbal Tea,Chamomile,28,127,Texas,50,60,30,110,45,Decaf
56,214,41,-6,2012-11-25,435,60,Major Market,South,13,Leaves,Herbal Tea,Lemon,24,101,Texas,30,60,30,90,36,Decaf
57,619,54,3,2012-11-26,601,79,Major Market,West,15,Leaves,Tea,Earl Grey,53,133,California,30,60,50,90,26,Regular
